T0,Ts,Td
1854.716348,0.275123,5.507572
1867.163450,0.156222,3.866941
1878.707799,0.290887,4.692221
1888.587168,0.285567,5.114850
1898.594644,0.471539,7.434214
1913.415621,0.239686,4.518379
1922.572753,0.266063,5.028600
1931.447043,0.347304,6.915374
1943.441340,0.198433,4.730930
1954.415251,0.130989,3.754853
