T0,Ts,Td
1855.667485,0.229189,4.982326
1867.049642,0.169741,4.053990
1878.451566,0.267219,4.713353
1889.299048,0.239748,4.631340
1901.604811,0.287716,4.914112
1913.560475,0.208592,4.187905
1923.172867,0.240685,4.512841
1933.801316,0.194865,4.405763
1944.000608,0.175032,4.249707
1954.276743,0.139914,3.888594
