T0,sigma
0.8,4.000000000000001e-06
0.8,4.500000000000001e-06
0.8,5e-06
0.8,5.5e-06
0.8,6e-06
0.9,4.000000000000001e-06
0.9,4.500000000000001e-06
0.9,5e-06
0.9,5.5e-06
0.9,6e-06
1.0,4.000000000000001e-06
1.0,4.500000000000001e-06
1.0,5e-06
1.0,5.5e-06
1.0,6e-06
1.1,4.000000000000001e-06
1.1,4.500000000000001e-06
1.1,5e-06
1.1,5.5e-06
1.1,6e-06
1.2,4.000000000000001e-06
1.2,4.500000000000001e-06
1.2,5e-06
1.2,5.5e-06
1.2,6e-06
