Log File,Best Loss
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.604900
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_3.err,593.607700
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.612700
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.614300
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_3.err,593.615100
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_3.err,593.618300
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_3.err,593.618300
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_3.err,593.618300
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.620100
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.620100
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.620500
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_4.err,593.621700
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_4.err,593.621700
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_4.err,593.625500
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.626500
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.627200
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.627200
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.627200
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.627200
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.627200
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.627200
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_2.err,593.636500
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_8.err,593.639700
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_4.err,593.643900
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
/cfs/earth/scratch/kieffleo/OHPC_da_vi_le_lu/logs/array_tune_98981_24.err,593.645600
